"","Plot","DATE","minHrlyTemp","maxHrlyTemp","minHrlyRH","maxHrlyRH"
"1",1302,"2013-05-25",6.712,22.513,35.767,87.032
"2",1302,"2013-05-26",9.952,22.202,31.138,94.013
"3",1302,"2013-05-27",9.608,14.194,72.952,100
"4",1302,"2013-05-28",11.248,21.581,61.625,100
"5",1302,"2013-05-29",11.273,24.774,26.208,91.051
"6",1302,"2013-05-30",8.02,26.573,19.107,90.041
"7",1302,"2013-05-31",10.026,31.97,22.242,79.568
"8",1302,"2013-06-01",14.194,32.047,26.155,58.815
"9",1302,"2013-06-02",13.161,29.365,30.356,68.787
"10",1302,"2013-06-03",9.928,19.222,59.232,95.526
"11",1302,"2013-06-04",9.706,18.105,65.106,99.188
"12",1302,"2013-06-05",9.064,22.321,54.515,100
"13",1302,"2013-06-06",8.22,26.5,47.355,100
"14",1302,"2013-06-07",10.541,35.182,27.309,95.897
"15",1302,"2013-06-08",10.956,35.315,32.323,95.902
"16",1302,"2013-06-09",10.834,17.415,73.599,100
"17",1302,"2013-06-10",10.956,12.558,99.195,100
"18",1302,"2013-06-11",9.485,23.761,52.955,100
"19",1302,"2013-06-12",9.435,27.505,24.963,82.016
"20",1302,"2013-06-13",9.015,27.53,21.152,73.536
"21",1302,"2013-06-14",NA,NA,NA,NA
"22",1302,"2013-06-15",51.148,80.449,35.477,79.811
"23",1302,"2013-06-16",53.865,85.217,22.637,72.419
"24",1302,"2013-06-17",53.298,80.802,34.348,81.006
"25",1302,"2013-06-18",50.445,72.05,31.57,89.032
"26",1302,"2013-06-19",47.781,75.204,32.154,88.461
"27",1302,"2013-06-20",49.825,80.184,18.484,81.829
"28",1302,"2013-06-21",54.648,84.049,21.541,67.812
"29",1302,"2013-06-22",57.16,87.939,21.841,67.108
"30",1302,"2013-06-23",54.604,66.686,70.575,98.857
"31",1302,"2013-06-24",52.641,57.765,97.669,100
"32",1302,"2013-06-25",55.776,61.075,100,100
"33",1302,"2013-06-26",58.541,74.511,69.646,100
"34",1302,"2013-06-27",57.936,87.802,42.355,100
"35",1302,"2013-06-28",65.701,97.306,17.542,80.381
"36",1302,"2013-06-29",69.514,99.167,23.75,60.065
"37",1302,"2013-06-30",69.17,95.184,30.694,59.362
"38",1302,"2013-07-01",65.444,97.014,29.42,68.48
"39",1302,"2013-07-02",61.462,92.997,37.806,79.762
"40",1302,"2013-07-03",60.433,88.396,42.075,85.67
"41",1302,"2013-07-04",69.901,97.257,21.324,68.913
"42",1302,"2013-07-05",56.165,83.064,38.603,80.119
"43",1302,"2013-07-06",51.852,77.684,50.547,100
"44",1302,"2013-07-07",48.538,79.084,48.987,99.938
"45",1302,"2013-07-08",48.895,80.845,46.16,100
"46",1302,"2013-07-09",52.641,88.947,23.85,95.921
"47",1302,"2013-07-10",49.294,81.687,33.505,90.44
"48",1302,"2013-07-11",47.602,77.203,43.012,100
"49",1302,"2013-07-12",48.762,77.335,48.204,100
"50",1302,"2013-07-13",52.115,83.021,34.814,97.561
"51",1302,"2013-07-14",47.691,79.041,42.249,94.969
"52",1302,"2013-07-15",46.931,68.785,58.099,100
"53",1302,"2013-07-16",49.204,66.472,67.447,100
"54",1302,"2013-07-17",49.87,78.559,48.359,100
"55",1302,"2013-07-18",50.929,83.377,36.638,97.671
"56",1302,"2013-07-19",55.386,87.985,33.98,88.562
"57",1302,"2013-07-20",53.602,87.757,37.794,91.796
"58",1302,"2013-07-21",52.335,82.841,41.112,89.695
"59",1302,"2013-07-22",55.69,83.154,35.991,95.855
"60",1302,"2013-07-23",59.959,76.986,39.251,77.592
"61",1302,"2013-07-24",57.722,85.667,32.065,85.778
"62",1302,"2013-07-25",56.469,81.952,42.296,82.947
"63",1302,"2013-07-26",49.161,79.743,47.49,99.362
"64",1302,"2013-07-27",49.338,77.247,49.016,100
"65",1302,"2013-07-28",48.315,74.77,52.921,100
"66",1302,"2013-07-29",49.383,70.072,59.444,100
"67",1302,"2013-07-30",49.383,72.739,57.921,100
"68",1302,"2013-07-31",48.45,76.725,48.627,100
"69",1302,"2013-08-01",47.826,78.865,38.021,96.349
"70",1302,"2013-08-02",54.387,82.753,33.48,81.188
"71",1302,"2013-08-03",50.311,77.945,45.078,97.051
"72",1302,"2013-08-04",48.405,73.386,54.165,100
"73",1302,"2013-08-05",47.602,75.29,50.339,100
"74",1302,"2013-08-06",47.736,71.92,55.32,100
"75",1302,"2013-08-07",50.445,66.686,65.575,100
"76",1302,"2013-08-08",51.501,72.394,59.447,100
"77",1302,"2013-08-09",48.85,72.307,54.82,100
"78",1302,"2013-08-10",51.325,74.511,53.749,100
"79",1302,"2013-08-11",49.428,78.865,44.946,100
"80",1302,"2013-08-12",49.383,81.111,38.113,99.631
"81",1302,"2013-08-13",55.213,88.075,26.71,85.654
"82",1302,"2013-08-14",55.819,89.685,26.312,72.955
"83",1302,"2013-08-15",59.916,87.62,39.313,93.759
"84",1302,"2013-08-16",59.745,87.71,33.529,99.977
"85",1302,"2013-08-17",62.233,86.527,36.642,70.237
"86",1302,"2013-08-18",62.233,92.386,33.094,80.66
"87",1302,"2013-08-19",57.16,85.622,39.554,88.855
"88",1302,"2013-08-20",54.865,79.788,44.943,100
"89",1302,"2013-08-21",52.641,76.811,44.189,100
"90",1302,"2013-08-22",51.633,73.602,53.207,100
"91",1302,"2013-08-23",52.115,80.227,42.574,100
"92",1302,"2013-08-24",53.865,80.051,42.383,87.371
"93",1302,"2013-08-25",56.772,75.985,56.648,99.49
"94",1302,"2013-08-26",56.035,81.023,42.716,100
