"","Plot","DATE","minHrlyTemp","maxHrlyTemp","minHrlyRH","maxHrlyRH","meanHrlyRH"
"1",1301,"2014-01-20",10.1,21.939,16.901,44.762,32.8799166666667
"2",1301,"2014-01-21",10.124,20.746,13.387,44.352,25.1279375
"3",1301,"2014-01-22",11.224,22.393,12.726,31.041,23.8745416666667
"4",1301,"2014-01-23",11.248,20.126,15.522,32.712,21.9956041666667
"5",1301,"2014-01-24",9.731,21.724,16.303,59.92,28.8983333333333
"6",1301,"2014-01-25",9.46,21.891,18.459,75.738,38.7209583333333
"7",1301,"2014-01-26",9.04,19.984,26.442,64.872,43.4205416666667
"8",1301,"2014-01-27",6.408,17.486,37.642,74.583,59.9511041666667
"9",1301,"2014-01-28",10.663,18.01,58.559,99.352,75.8172916666667
"10",1301,"2014-01-29",9.312,12.944,86.336,100,96.8300208333333
"11",1301,"2014-01-30",7.569,15.414,38.198,94.878,77.3087291666667
"12",1301,"2014-01-31",3.854,13.81,25.522,94.568,65.3779166666667
"13",1301,"2014-02-01",2.823,13.305,32.373,96.529,68.8906041666667
"14",1301,"2014-02-02",2.823,4.999,92.663,98.398,96.57925
"15",1301,"2014-02-03",1.398,10.124,57.975,98.697,82.7467708333333
"16",1301,"2014-02-04",1.071,10.492,51.489,93.357,73.9934166666667
"17",1301,"2014-02-05",1.044,9.312,56.352,98.754,84.125375
"18",1301,"2014-02-06",4.35,8.02,96.468,100,99.2712708333333
"19",1301,"2014-02-07",7.192,10.394,100,100,100
"20",1301,"2014-02-08",9.534,12.292,100,100,100
"21",1301,"2014-02-09",11.127,12.34,100,100,100
"22",1301,"2014-02-10",9.485,14.194,94.993,100,98.9465625
"23",1301,"2014-02-11",5.745,15.366,72.188,100,91.581375
"24",1301,"2014-02-12",6.535,13.834,72.694,100,93.8046875
"25",1301,"2014-02-13",9.558,17.677,81.575,100,95.6889375
"26",1301,"2014-02-14",10.932,16.225,74.034,100,94.4678541666667
"27",1301,"2014-02-15",10.369,11.394,99.183,100,99.9829791666667
"28",1301,"2014-02-16",5.719,14.218,57.241,100,83.6623333333333
"29",1301,"2014-02-17",3.564,15.008,47.946,95.913,78.4650625
"30",1301,"2014-02-18",7.116,15.819,56.193,94.132,79.7618541666667
"31",1301,"2014-02-19",6.585,15.796,46.833,99.731,75.2193541666667
"32",1301,"2014-02-20",5.024,18.652,37.363,89.744,64.5196666666667
"33",1301,"2014-02-21",9.41,19.698,33.521,76.034,57.7571041666667
"34",1301,"2014-02-22",8.295,19.698,39.069,86.263,64.909
"35",1301,"2014-02-23",7.619,19.936,47.15,89.709,70.9018958333333
"36",1301,"2014-02-24",9.854,21.724,39.427,85.229,62.7028958333333
"37",1301,"2014-02-25",5.872,18.414,57.138,97.904,80.6895208333333
"38",1301,"2014-02-26",7.945,11.419,94.79,100,99.2660625
"39",1301,"2014-02-27",9.262,13.834,72.817,100,92.430875
"40",1301,"2014-02-28",8.469,12.582,75.804,100,96.8324791666667
"41",1301,"2014-03-01",8.668,16.32,64.914,100,86.8654791666667
"42",1301,"2014-03-02",9.361,11.977,92.622,100,97.5178541666667
"43",1301,"2014-03-03",9.534,11.613,94.832,100,99.42275
"44",1301,"2014-03-04",9.139,15.318,80.145,100,94.7364375
"45",1301,"2014-03-05",10.932,15.485,79.119,100,96.5070208333333
"46",1301,"2014-03-06",7.97,15.557,74.794,100,93.7125208333333
"47",1301,"2014-03-07",5.616,18.271,48.984,97.482,72.7655
"48",1301,"2014-03-08",8.095,20.936,40.302,90.291,65.2203333333333
"49",1301,"2014-03-09",12.001,21.008,48.358,81.743,67.9105434782609
"50",1301,"2014-03-10",8.095,17.463,44.38,97.131,70.8859375
"51",1301,"2014-03-11",9.262,20.722,18.425,49.22,28.09575
"52",1301,"2014-03-12",11.929,20.698,16.822,28.073,22.4807291666667
"53",1301,"2014-03-13",11.005,24.146,20.48,48.946,31.2192291666667
"54",1301,"2014-03-14",7.091,22.106,35.878,78.522,56.26875
"55",1301,"2014-03-15",12.292,24.968,21.812,73.49,46.4059791666667
"56",1301,"2014-03-16",9.163,24.291,24.093,72.875,46.8950833333333
"57",1301,"2014-03-17",7.995,19.032,33.199,92.486,62.4846875
"58",1301,"2014-03-18",10.1,21.437,14.467,47.634,31.4543541666667
"59",1301,"2014-03-19",10.32,21.963,23.693,51.094,35.808125
"60",1301,"2014-03-20",8.866,22.321,17.44,59.59,42.01875
"61",1301,"2014-03-21",6.128,19.793,44.08,92.327,70.0507291666667
"62",1301,"2014-03-22",4.869,20.031,39.719,92.78,67.0292708333333
"63",1301,"2014-03-23",4.011,20.627,42.529,98.108,69.352875
"64",1301,"2014-03-24",8.866,22.824,22.078,72.35,46.7824166666667
"65",1301,"2014-03-25",6.077,12.654,47.819,100,85.9724166666667
"66",1301,"2014-03-26",6.965,12.025,83.348,100,95.7522916666667
"67",1301,"2014-03-27",NA,NA,NA,NA,NA
"68",1301,"2014-03-28",9.731,13.305,91.108,100,98.160375
"69",1301,"2014-03-29",6.636,11.686,97.028,100,99.463
"70",1301,"2014-03-30",4.48,13.69,65.508,100,87.2851666666667
"71",1301,"2014-03-31",4.532,8.767,89.118,100,98.2037916666667
"72",1301,"2014-04-01",3.775,8.07,97.037,100,99.7752083333333
"73",1301,"2014-04-02",4.141,14.17,61.497,100,87.9783958333333
"74",1301,"2014-04-03",4.869,14.649,60.383,100,87.8611875
"75",1301,"2014-04-04",6.56,11.977,86.903,100,96.7990625
"76",1301,"2014-04-05",5.642,18.485,52.687,100,79.7183333333333
"77",1301,"2014-04-06",8.295,24.146,40.537,90.408,65.5102708333333
"78",1301,"2014-04-07",14.098,27.235,30.146,69.862,54.4289583333333
"79",1301,"2014-04-08",14.098,26.012,43.535,83.356,64.2231875
"80",1301,"2014-04-09",10.59,23.232,38.772,97.03,68.1955
"81",1301,"2014-04-10",8.742,25.234,39.888,89.655,67.7958958333333
"82",1301,"2014-04-11",8.17,21.127,56.246,97.795,79.8872916666667
"83",1301,"2014-04-12",7.569,18.461,61.526,100,89.7811666666667
"84",1301,"2014-04-13",7.995,23.016,54.176,100,84.2767708333333
"85",1301,"2014-04-14",8.866,23.954,40.993,93.474,70.872125
"86",1301,"2014-04-15",6.255,23.328,47.93,100,74.7224791666667
"87",1301,"2014-04-16",11.589,25.355,34.128,73.914,54.8589583333333
"88",1301,"2014-04-17",10.516,24.798,37.968,86.538,63.0583333333333
"89",1301,"2014-04-18",9.139,22.178,49.961,84.996,66.6443125
"90",1301,"2014-04-19",6.153,21.772,39.698,93.909,67.3685208333333
"91",1301,"2014-04-20",9.336,25.744,28.52,87.16,52.4246041666667
"92",1301,"2014-04-21",9.632,20.15,30.012,93.383,50.4837083333333
"93",1301,"2014-04-22",5.745,16.368,33.787,95.008,65.4261041666667
"94",1301,"2014-04-23",4.376,19.746,38.944,87.934,64.4180625
"95",1301,"2014-04-24",8.344,19.318,57.969,99.486,83.7582916666667
"96",1301,"2014-04-25",6.179,11.88,85.192,99.718,94.589125
"97",1301,"2014-04-26",4.246,15.27,46.218,95.775,76.1412083333333
"98",1301,"2014-04-27",7.142,15.915,53.379,100,82.4129791666667
"99",1301,"2014-04-28",6.179,22.034,35.401,95.574,64.0155833333333
"100",1301,"2014-04-29",11.419,30.571,17.248,57.971,32.7482083333333
"101",1301,"2014-04-30",17.843,30.646,17.866,48.558,29.4548333333333
"102",1301,"2014-05-01",16.582,30.52,19.993,50.332,35.3987708333333
"103",1301,"2014-05-02",NA,NA,NA,NA,NA
"104",1301,"2014-05-03",8.419,22.417,45.08,97.883,70.5160625
"105",1301,"2014-05-04",9.312,18.889,55.055,87.15,73.0822708333333
